Имя,Табельный номер,Основная роль,Договор,Формат торговой точки,Торговая дочка,Город
Трофимов Даниил Юрьевич,24150383,Кассир-комплектовщик,ТД,ДС,7565,Санкт-Петербург
Азимова Зарина Рустамовна,A000217693,Уборщица,Аутсорсинг,ДС,7565,Санкт-Петербург
Савицкий Алексей Фёдорович,24143510,Кассир-комплектовщик универсальный (4/2),ТД,ДС,7565,Санкт-Петербург
Комаров Станислав Вячеславович,24211180,Сборщик КК,ТД,ДС,7565,Санкт-Петербург
Рубцов Вадим Эдуардович,24150244,Сборщик КК (4/2),ТД,ДС,7565,Санкт-Петербург
Шевченко Вера Олеговна,24164124,Повар-пекарь,ТД,ДС,7565,Санкт-Петербург
Макаров Сергей Игоревич,24190214,Повар-пекарь,ТД,ДС,7565,Санкт-Петербург
Шарова Евгения Романовна,24172109,Сборщик КК,ТД,ДС,7565,Санкт-Петербург
Денисова Анастасия Станиславовна,24212662,Сборщик КК,ТД,ДС,7565,Санкт-Петербург
Белов Григорий Николаевич,24176271,Несборщик,ТД,ДС,7565,Санкт-Петербург
Новицкая Мария Александровна,24179799,Сборщик КК,ТД,ДС,7565,Санкт-Петербург
Кудрявцев Тимофей Павлович,24200800,Сборщик КК (2/2),ТД,ДС,7565,Санкт-Петербург
Астахов Владислав Денисович,24108071,Сборщик КК,ТД,ДС,7565,Санкт-Петербург
Власов Андрей Васильевич,24213827,Сборщик КК,ТД,ДС,7565,Санкт-Петербург
Гафарова Земфира Марсельевна,24166214,Сборщик КК (2/2),ТД,ДС,7565,Санкт-Петербург
Хасанзода Фаррух Алишерович,203571,Грузчик,Аутсорсинг,ДС,7565,Санкт-Петербург
Кириенко Дмитрий Павлович,24150150,Кассир-комплектовщик универсальный,ТД,ДС,7565,Санкт-Петербург
Смирнов Алексей Дмитриевич,,Продавец,Аутсорсинг,ВС,5494М,Санкт-Петербург
Кузнецова Ольга Сергеевна,,Продавец-консультант (3/3),ТД,ВС,5494М,Санкт-Петербург
Иванов Павел Владимирович,,Старший продавец (3/3),ТД,ВС,5494М,Санкт-Петербург
Петрова Анна Игоревна,,Разнорабочий,ТД,ВС,5494М,Санкт-Петербург
Соколов Артём Викторович,,Продавец-консультант,ТД,ВС,5494М,Санкт-Петербург
Михайлова Елена Алексеевна,,Охранник,Аутсорсинг,ВС,5494М,Санкт-Петербург
Фёдорова Мария Николаевна,,Продавец-консультант,ТД,ВС,5494М,Санкт-Петербург
Морозов Денис Александрович,,Охранник,Аутсорсинг,ВС,5494М,Санкт-Петербург
Волкова Татьяна Петровна,,Старший продавец (2/2),ТД,ВС,5494М,Санкт-Петербург
Белова Ксения Андреевна,,Уборщица,Аутсорсинг,ВС,5494М,Санкт-Петербург
Новикова Светлана Юрьевна,,Продавец-консультант,ТД,ВС,5494М,Санкт-Петербург
Егоров Максим Олегович,,Продавец-консультант (4/2),ТД,ВС,5494М,Санкт-Петербург
